title,genres,keywords,director,cast,year,vote_average,runtime,overview,country
"Spider-Man: Into the Spider-Verse","Animation Action Adventure Science Fiction","marvel spider-man miles morales spider-verse animation multiverse gwen stacy visual masterpiece","Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore Jake Johnson Hailee Steinfeld Mahershala Ali",2018,8.4,117,"Teen Miles Morales becomes the new Spider-Man, but when Kingpin opens an interdimensional portal, alternate Spider-heroes from other realities cross into Brooklyn to help him stop the collider.",United States
"X-Men","Action Adventure Science Fiction","marvel x-men wolverine magneto professor x mutants nostalgic classic","Bryan Singer","Hugh Jackman Patrick Stewart Ian McKellen Famke Janssen Halle Berry",2000,7,104,"Two mutants come to a private academy for their kind whose resident superhero team must oppose a terrorist organization with similar powers led by Magneto.",United States
"X2: X-Men United","Action Adventure Science Fiction","marvel x-men wolverine stryker nightcrawler white house mutants action","Bryan Singer","Hugh Jackman Patrick Stewart Ian McKellen Halle Berry Brian Cox",2003,7.1,134,"When anti-mutant military scientist William Stryker attacks Professor X's school, the X-Men must forge an uneasy alliance with their bitter enemies, the Brotherhood of Mutants.",United States
"X-Men: Days of Future Past","Action Adventure Fantasy Science Fiction","marvel x-men wolverine time travel sentinels quicksilver dystopia mind-bending","Bryan Singer","Hugh Jackman James McAvoy Michael Fassbender Jennifer Lawrence Patrick Stewart",2014,7.5,132,"The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as Wolverine is sent back in time to 1973 to prevent the creation of mutant-hunting Sentinels.",United States
"Logan","Action Drama Science Fiction","marvel wolverine logan x-23 professor x neo-western gritty heartbreaking masterpiece","James Mangold","Hugh Jackman Patrick Stewart Dafne Keen Boyd Holbrook",2017,7.8,137,"In the near future, a weary Logan cares for an ailing Professor X in a hide out on the Mexican border. But Logan's attempts to hide from the world and his legacy are up-ended when a young mutant arrives, being pursued by dark forces.",United States
"Deadpool","Action Adventure Comedy","marvel deadpool wade wilson fourth wall meta comedy action satire superhero","Tim Miller","Ryan Reynolds Morena Baccarin Ed Skrein T.J. Miller",2016,7.6,108,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool.",United States
"Deadpool 2","Action Comedy Adventure","marvel deadpool cable domino x-force time travel comedy action","David Leitch","Ryan Reynolds Josh Brolin Morena Baccarin Julian Dennison Zazie Beetz",2018,7.5,119,"Wisecracking mercenary Deadpool battles the time-traveling cybernetic soldier Cable to save an angry mutant kid and recruits a rogue team of mutants called X-Force.",United States
"WandaVision","Sci-Fi & Fantasy Mystery Drama Comedy","marvel mcu wandavision scarlet witch vision agatha harkness sitcom mind-bending grief tv series","Matt Shakman","Elizabeth Olsen Paul Bettany Kathryn Hahn Teyonah Parris Randall Park",2021,8.2,350,"Wanda Maximoff and Vision—two super-powered beings living idealized suburban lives—begin to suspect that everything is not as it seems in the hex town of Westview.",United States
"The Falcon and the Winter Soldier","Sci-Fi & Fantasy Action & Adventure Drama","marvel mcu falcon winter soldier sam wilson bucky barnes baron zemo shield action tv series","Kari Skogland","Anthony Mackie Sebastian Stan Wyatt Russell Erin Kellyman Daniel Brühl",2021,7.6,300,"Following the events of Avengers: Endgame, Sam Wilson and Bucky Barnes team up in a global adventure that tests their abilities—and their patience—as they confront the Flag Smashers.",United States
"Loki","Drama Sci-Fi & Fantasy Action & Adventure","marvel mcu loki tva multiverse time travel mobius glorious purpose mind-bending tv series","Kate Herron, Justin Benson, Aaron Moorhead","Tom Hiddleston Sophia Di Martino Owen Wilson Gugu Mbatha-Raw Ke Huy Quan",2021,8.2,580,"After stealing the Tesseract during the events of Avengers: Endgame, an alternate version of Loki is brought to the mysterious Time Variance Authority (TVA), a bureaucratic organization that exists outside of time and space.",United States
"What If...?","Animation Action & Adventure Sci-Fi & Fantasy","marvel mcu what if the watcher animation multiverse alternate reality captain carter tv series","Bryan Andrews","Jeffrey Wright Hayley Atwell Chadwick Boseman Benedict Cumberbatch",2021,8,500,"Taking inspiration from the comic books of the same name, each episode explores a pivotal moment from the Marvel Cinematic Universe and turns it on its head, leading the audience into uncharted territory.",United States
"Hawkeye","Action & Adventure Comedy Drama","marvel mcu hawkeye kate bishop clint barton christmas new york archery action tv series","Rhys Thomas, Bert & Bertie","Jeremy Renner Hailee Steinfeld Vera Farmiga Fra Fee Florence Pugh",2021,7.9,290,"Former Avenger Clint Barton has a seemingly simple mission: get back to his family for Christmas. Possible? Maybe with the help of Kate Bishop, a 22-year-old archer with dreams of becoming a superhero.",United States
"Moon Knight","Action & Adventure Sci-Fi & Fantasy Mystery","marvel mcu moon knight marc spector steven grant khonshu egyptian mythology psychological mind-bending tv series","Mohamed Diab, Justin Benson, Aaron Moorhead","Oscar Isaac Ethan Hawke May Calamawy F. Murray Abraham",2022,7.8,280,"Steven Grant discovers he has dissociative identity disorder and shares a body with mercenary Marc Spector. As Steven/Marc's enemies converge upon them, they must navigate their complex identities while thrust into a deadly mystery among the powerful gods of Egypt.",United States
"Ms. Marvel","Sci-Fi & Fantasy Action & Adventure Comedy","marvel mcu ms marvel kamala khan teen hero coming-of-age feel-good tv series","Adil El Arbi, Bilall Fallah","Iman Vellani Matt Lintz Yasmeen Fletcher Zenobia Shroff",2022,7,270,"A great student, an avid gamer and a voracious fan-fiction scribe, Kamala Khan has a special affinity for superheroes, particularly Captain Marvel. But she struggles to fit in until she gets superpowers of her own.",United States
"She-Hulk: Attorney at Law","Comedy Sci-Fi & Fantasy Action & Adventure","marvel mcu she-hulk jennifer walters lawyer hulk fourth wall comedy tv series","Kat Coiro, Anu Valia","Tatiana Maslany Jameela Jamil Ginger Gonzaga Mark Ruffalo Tim Roth",2022,6.3,280,"Jennifer Walters navigates the complicated life of a single, 30-something attorney who also happens to be a green 6-foot-7-inch superpowered hulk.",United States
"Secret Invasion","Drama Sci-Fi & Fantasy Action & Adventure","marvel mcu secret invasion nick fury skrulls paranoia thriller espionage tv series","Ali Selim","Samuel L. Jackson Ben Mendelsohn Emilia Clarke Olivia Colman Kingsley Ben-Adir",2023,6.2,250,"Nick Fury learns of a clandestine invasion of Earth by a faction of shapeshifting Skrulls. Fury joins his allies to race against time to thwart an imminent Skrull invasion.",United States
"Echo","Action & Adventure Crime Drama","marvel mcu echo maya lopez kingpin daredevil gritty crime tv series","Sydney Freeland, Catriona McKenzie","Alaqua Cox Chaske Spencer Tantoo Cardinal Vincent D'Onofrio",2024,6.8,200,"Maya Lopez must face her past, reconnect with her Native American roots and embrace the meaning of family and community if she ever hopes to move forward while pursued by Wilson Fisk's empire.",United States
"Agatha All Along","Sci-Fi & Fantasy Comedy Mystery","marvel mcu agatha harkness witches road magic coven spooky comedy tv series","Jac Schaeffer, Gandja Monteiro, Rachel Goldberg","Kathryn Hahn Joe Locke Sasheer Zamata Aubrey Plaza Patti LuPone",2024,7.7,360,"The infamous Agatha Harkness finds herself down and out of power after a suspicious goth teen helps break her free from a distorted spell. Her interest is piqued when he begs her to take him on the legendary Witches' Road.",United States
"Daredevil","Crime Drama Action & Adventure","marvel daredevil matt murdock kingpin hells kitchen hallway fight gritty dark superhero masterpiece tv series","Drew Goddard","Charlie Cox Deborah Ann Woll Elden Henson Vincent D'Onofrio",2015,8.3,1800,"Blinded as a young boy, Matt Murdock fights injustice by day as a lawyer and by night as the superhero Daredevil in Hell's Kitchen, New York City.",United States
"The Punisher","Crime Drama Action & Adventure","marvel punisher frank castle revenge military action gritty dark tv series","Steve Lightfoot","Jon Bernthal Ebon Moss-Bachrach Ben Barnes Amber Rose Revah",2017,8.2,1300,"A former Marine out to punish the criminals responsible for his family's murder finds himself ensnared in a military conspiracy.",United States
"X-Men '97","Animation Action & Adventure Sci-Fi & Fantasy","marvel x-men x-men 97 animation cyclops magneto wolverine nostalgic masterpiece tv series","Beau DeMayo, Jake Castorena","Ray Chase Jennifer Hale Lenore Zann George Buza Matthew Waterson",2024,8.5,320,"A band of mutants who use their uncanny gifts to protect a world that hates and fears them are challenged like never before, forced to face a dangerous and unexpected new future following the loss of Professor X.",United States
